old	new
 HSG1-11 P.chlorelligerum KX669632.1	Paramecium chlorelligerum HSG1-11 KX669632.1
 P. chlorelligerum KX669634	Paramecium chlorelligerum KX669634.1
 OLI-Parame-burs-01 P. bursaria FJ905152.1	Paramecium bursaria OLI-Parame-burs-01 FJ905152.1
 K11-4B P.bursaria MT078144.1	Paramecium bursaria K11-4B MT078144.1
Pb1C30 P. bursaria JX082041	Paramecium bursaria Pb1C30 JX082041.1
IP P. bursaria JF304186	Paramecium bursaria IP JF304186.1
 “Paramecium germanicum” GO1 KM091240.1 Germany	Paramecium germanicum GO1 KM091240.1
SD11-9 Russia, Saint Petersburg	Paramecium lynni SD11-9
V105-1 MN264579.1 (Rautian) Russia, Vologda region	Paramecium sp. V105-1 MN264579.1
PO16-1 (COIlongF needed) Russia, Pskov region	Paramecium lynni PO16-1
CB8-2 MN264581.1 (Rautian) China	Paramecium sp. CB8-2 MN264581.1
HSG3-10 Russia, Saint Petersburg	Paramecium lynni HSG3-10
P.multimicronucleatum TRB101-1 JF741262.1 Russia, Baikal	Paramecium multimicronucleatum TRB101-1 JF741262.1
P.multimicronucleatum TRB101-4 JF741263.1 Russia, Baikal	Paramecium multimicronucleatum TRB101-4 JF741263.1
ShKm41 Kemerovo region, Russia	Paramecium lynni ShKm41
SP-1 Russia, St Petersburg	Paramecium lynni SP-1
 P.caudatum V-1 MT078150.1 Mexico	Paramecium caudatum V-1 MT078150.1
P.caudatum OLI-Parame-caud-01 FJ905142.1 USA?	Paramecium caudatum OLI-Parame-caud-01 FJ905142.1
 P.caudatum K5-2 MT078151.1 Mexico	Paramecium caudatum K5-2 MT078151.1
P.caudatum BRA-RIO FN256282.1 haplotype PcCOI_b03 Brazil	Paramecium caudatum BRA-RIO PcCOI_b03 FN256282.1
 P.caudatum M3 KY399443.1	Paramecium caudatum M3 KY399443.1
P.caudatum PcC30 JX082093.1 China	Paramecium caudatum PcC30 JX082093.1
mito_caud_C083 USA, IN	Paramecium caudatum C083
 P. multimicronucleatum Kr113-3 JF741258.1 Russia, Krasnoyarsk	Paramecium multimicronucleatum Kr113-3 JF741258.1
Or4-4 Russia, Orenburg	Paramecium caudatum OR4-4
mito_caud_43c3d USA, IN	Paramecium caudatum 43c3d
P.caudatum OLI-Parame-caud-02 FJ905148.1 Russia, SPb	Paramecium caudatum OLI-Parame-caud-02 FJ905148.1
mito_caud_GB-E, UK	Paramecium caudatum GB-E
mito_caud_C104 Spain	Paramecium caudatum C104
P.caudatum CA JF304187.1 Cyprus	Paramecium caudatum CA JF304187.1
P.caudatum SH42 MG013510.1 Germany	Paramecium caudatum SH42 MG013510.1
P.multimicronucleatum GB4-26 MN264576.1 (Rautian) UK?	Paramecium multimicronucleatum GB4-26 MN264576.1
 P.caudatum RanNy1602-AP18 MG589328.1 Germany	Paramecium caudatum RanNy1602-AP18 MG589328.1
P.caudatum HUN-BA, FN256277.1 haplotype PcCOI_a12 Hungary	Paramecium caudatum HUN-BA PcCOI_a12 FN256277.1
 P.caudatum POE-1 HQ149725.1 Portugal	Paramecium caudatum POE-1 HQ149725.1
 P.caudatum SLO-R FN256281.1 Slovenia	Paramecium caudatum SLO-R FN256281.1
 P.caudatum G-E12 FN256263.1 Germany	Paramecium caudatum G-E12 FN256263.1
 P.caudatum G-PL-2 FN256264.1 Germany	Paramecium caudatum G-PL-2 FN256264.1
mito_caud_C026 USA, LA	Paramecium caudatum C026
P.caudatum INK-1 HQ149722.1 Indonesia	Paramecium caudatum INK-1 HQ149722.1
 P.caudatum INP-3 HQ149724.1 Indonesia	Paramecium caudatum INP-3 HQ149724.1
 P.caudatum INL-1 HQ149723.1 Indonesia	Paramecium caudatum INL-1 HQ149723.1
 P.multimicronucleatum Wg8 JF741271.1  USA, VA	Paramecium multimicronucleatum Wg8 JF741271.1
P.multimicronucleatum Peniche31(ParameciumDB)Portugal	Paramecium multimicronucleatum Peniche31
OmN-1 USA, NE	Paramecium multimicronucleatum OmN-1
 P.multimicronucleatum L72-1 MT078145.1 Mexico	Paramecium multimicronucleatum L72-1 MT078145.1
ChP10-2 Mexico	
 P.multimicronucleatum K4-2 MT078146.1 Mexico	Paramecium multimicronucleatum K4-2 MT078146.1
R51-6 Mexico	
SMM80-11 Mexico	
LB2 Mexico	
SK6-3 Mexico	
 P.multimicronucleatum haplotype C3(1) MH544190.1 China	Paramecium multimicronucleatum C3(1) MH544190.1
 P.multimicronucleatum haplotype C3(2) MH544191.1 China	Paramecium multimicronucleatum C3(2) MH544191.1
 P.multimicronucleatum SPb63-2 JF741248.1 Russia, SPb	Paramecium multimicronucleatum SPb63-2 JF741248.1
 P.multimicronucleatum BSP-7 AM072772.1 Brazil	Paramecium multimicronucleatum BSP-7 AM072772.1
 P.multimicronucleatum haplotype C7 MH544195.1 China	Paramecium multimicronucleatum haplotype C7 MH544195.1
G1-2 MN264582.1 (Rautian)	Paramecium sp. G1-2 MN264582.1
P.multimicronucleatum AMA5-7 MN264578.1 (Rautian)	Paramecium multimicronucleatum AMA5-7 MN264578.1
CyP5-3 Cyprus	Paramecium multimicronucleatum CyP5-3
 P.multimicronucleatum ISN-11 AM072769.1 Italy	Paramecium multimicronucleatum ISN-11 AM072769.1
 P.multimicronucleatum haplotype C1(1) MH544185.1 China	Paramecium multimicronucleatum C1(1) MH544185.1
ID1-13 India	
MSA-5 Malta	
 P.multimicronucleatum AH1-5 AM072768.1 Hawaii	Paramecium multimicronucleatum AH1-5 AM072768.1
N16 (Ns2-16) Russia, Novosibirsk	
 P.multimicronucleatum haplotype C6 MH544194.1 China	Paramecium multimicronucleatum C6 MH544194.1
ThK-16 Thailand	Paramecium multimicronucleatum ThK-16
 P.multimicronucleatum MB2-5 JF741245.1 Moldova	Paramecium multimicronucleatum MB2-5 JF741245.1
ChP3-4 Mexico	
 P.multimicronucleatum OLI-Parame-mult-03 FJ905145.1 Japan	Paramecium multimicronucleatum OLI-Parame-mult-03 FJ905145.1
 P.multimicronucleatum haplotype C12 MH544200.1 China	Paramecium multimicronucleatum C12 MH544200.1
 P.multimicronucleatum Chp5-3 MT078147.1 Mexico	Paramecium multimicronucleatum Chp5-3 MT078147.1
E59-1B Mexico	
IP2-1 Italy	
 P.multimicronucleatum OLI-Parame-mult-01 FJ905143.1 USA?	Paramecium multimicronucleatum OLI-Parame-mult-01 FJ905143.1
 P.multimicronucleatum OLI-Parame-mult-02 FJ905144.1 USA?	Paramecium multimicronucleatum OLI-Parame-mult-02 FJ905144.1
N12 (AB9-8) USA, MA	
 P.multimicronucleatum BR JF304189.1 USA, LA	Paramecium multimicronucleatum BR JF304189.1
 P.multimicronucleatum US_Bl 16I1 MK806287.1 USA, IN	Paramecium multimicronucleatum US_Bl 16I1 MK806287.1
 P.multimicronucleatum T42-1 MT078148.1 Mexico	Paramecium multimicronucleatum T42-1 MT078148.1
 P.multimicronucleatum SMM81-1 MT078149.1 Mexico	Paramecium multimicronucleatum SMM81-1 MT078149.1
P.multimicronucleatum AM MN264577.1 (Rautian)	Paramecium multimicronucleatum AM MN264577.1
P.multimicronucleatum mult M04(ParameciumDB)Australia	Paramecium multimicronucleatum M04
CyL3-21 Cyprus	
strain 14 PP-2 Russia, Pskov region	
PL4-1 Portugal	
N6 (OP13) Russia, SPb	
FT8 Paramecium sp.	
227 MT318934 P.septaurelia	
AZ9-3 PPRIM.AZ9-3.MITO.1.G040 P.primaurelia	
TE PNOVA.TE.MITO.1.G040 P.novaurelia	
N1A PQUAD.NiA.MITO.1.G040 P.quadecaurelia	
V1-4 PBIAU.V1-4.MITO.1.G040 P.biaurelia	
 274 PDODE.274.MITO.1.G040 P.dodecaurelia	
 223 PDECA.223.MITO.1.G040 P.decaurelia	
 51 M15281.1 P.tetraurelia	
 AZ8-4 PSEXA.AZ8-4.MITO.1.G040 P.sexaurelia	
M PJENN.M.MITO.1.G040 P.jenningsi	
