,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pmult_ChP5-3.1,Pmult_strain4.1,Pmult_SK6-3.1,Pmult_ThK-16.1,Pmult_OmN-1.1,Pmult_FT5.1,Pmult_BNB-2015.1,Pfok_US_Bl_16I1.1,Pfok_strain14.1,Pfok_CyL3-21.1,Pfok_strain12.1,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_ChP5-3,0.0,0.0005907297,0.0,0.0,0.0011760349000000002,0.0086577101,0.0089107962,0.0077241415,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.014981794199999999,0.0,0.0005907297,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.0089107962,0.0086577101,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.0301886035,0.0319373977,0.0319373977,0.0320752187,0.03452662,0.0314739743,0.0345343562,0.050979843899999995,0.052377358799999996,0.0498451371,0.0498451371,0.050870815300000004,0.0568121975,0.0618508684,0.0618308717,0.061553902,0.061553902,0.059063669400000005,0.0621760645,0.07079382940000001,0.0774497058,0.0637112008,0.0760360784,0.0696399973,0.0695583666,0.0899507367,0.0915151317
Pmult_strain4,0.0005907297,0.0,0.0005907297,0.0005907297,0.0017735379999999999,0.0095406946,0.0095564212,0.008363454499999999,0.0011829242,0.002963235,0.0017765879000000001,0.015049711399999999,0.0156662737,0.0156662737,0.0153546942,0.0156662737,0.0005907297,0.0,0.0011829242,0.002963235,0.0017765879000000001,0.0095564212,0.0095406946,0.015049711399999999,0.0156662737,0.0156662737,0.0153546942,0.0308437358,0.0327334972,0.0327334972,0.0327334972,0.0353402351,0.032131816699999996,0.0353481849,0.0519038539,0.053084701100000006,0.050764915,0.050764915,0.0515820394,0.0556193868,0.0614244254,0.0625560126,0.0625560126,0.0625560126,0.0600526112,0.0632247722,0.071872394,0.0782146608,0.0647293526,0.0771453077,0.0703894699,0.070300038,0.09117874699999999,0.09275535380000001
Pmult_R51-6,0.0,0.0005907297,0.0,0.0,0.0011760349000000002,0.0086577101,0.0089107962,0.0077241415,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.014981794199999999,0.0,0.0005907297,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.0089107962,0.0086577101,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.0301886035,0.0319373977,0.0319373977,0.0320752187,0.03452662,0.0314739743,0.0345343562,0.050979843899999995,0.052377358799999996,0.0498451371,0.0498451371,0.050870815300000004,0.0568121975,0.0618508684,0.0618308717,0.061553902,0.061553902,0.059063669400000005,0.0621760645,0.07079382940000001,0.0774497058,0.0637112008,0.0760360784,0.0696399973,0.0695583666,0.0899507367,0.0915151317
Pmult_K4-2,0.0,0.0005907297,0.0,0.0,0.0011760349000000002,0.0086577101,0.0089107962,0.0077241415,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.014981794199999999,0.0,0.0005907297,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.0089107962,0.0086577101,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.0301886035,0.0319373977,0.0319373977,0.0320752187,0.03452662,0.0314739743,0.0345343562,0.050979843899999995,0.052377358799999996,0.0498451371,0.0498451371,0.050870815300000004,0.0568121975,0.0618508684,0.0618308717,0.061553902,0.061553902,0.059063669400000005,0.0621760645,0.07079382940000001,0.0774497058,0.0637112008,0.0760360784,0.0696399973,0.0695583666,0.0899507367,0.0915151317
Pmult_CyP5-3,0.0011760349000000002,0.0017735379999999999,0.0011760349000000002,0.0011760349000000002,0.0,0.0069185209,0.0077168285999999996,0.0065308491000000005,0.0017662293,0.0017723897,0.0029562272999999997,0.0155785144,0.0162609353,0.0161926814,0.015960992,0.0161926814,0.0011760349000000002,0.0017735379999999999,0.0017662293,0.0017723897,0.0029562272999999997,0.0077168285999999996,0.0069185209,0.0155785144,0.0162609353,0.0161926814,0.015960992,0.0314450285,0.0306854573,0.0306854573,0.0308177764,0.0332679303,0.0327334972,0.0332753977,0.0496825479,0.051059939900000004,0.0485456094,0.0485456094,0.0495437904,0.055492290300000004,0.0605149931,0.0611628238,0.0608889485,0.0608889485,0.059063669400000005,0.0621760645,0.0701106327,0.0781426277,0.0637112008,0.0760360784,0.0696399973,0.0695583666,0.0885269582,0.0900869028
Pmult_BNB-2015,0.0086577101,0.0095406946,0.0086577101,0.0086577101,0.0069185209,0.0,0.0157495859,0.0157841684,0.0095406946,0.0069185209,0.0086577101,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0086577101,0.0095406946,0.0095406946,0.0069185209,0.0086577101,0.0157495859,0.0,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0418374527,0.0409073173,0.0409073173,0.0418398486,0.0418600644,0.0437080528,0.0428634312,0.0616440516,0.0702829236,0.0660522189,0.0660522189,0.0660522189,0.0660522189,0.0660522189,0.0839153087,0.0839153087,0.0839153087,0.0746373263,0.0729858767,0.08839354949999999,0.09666438050000001,0.0815127261,0.0933642806,0.0889567161,0.0852164341,0.10196630640000001,0.1031796933
Pmult_FT5,0.0089107962,0.0095564212,0.0089107962,0.0089107962,0.0077168285999999996,0.0157495859,0.0,0.0131635296,0.0095166366,0.0095501007,0.0107520477,0.0236095154,0.0243406113,0.0242374023,0.0241952216,0.0242374023,0.0089107962,0.0095564212,0.0095166366,0.0095501007,0.0107520477,0.0,0.0157495859,0.0236095154,0.0243406113,0.0242374023,0.0241952216,0.0398746269,0.039067755600000004,0.039067755600000004,0.0392379401,0.0403613829,0.041190668199999995,0.0403703842,0.0570515523,0.059268842,0.0573415692,0.0573415692,0.0585328097,0.0644626947,0.0696202788,0.0702766232,0.06995874469999999,0.06995874469999999,0.0681289241,0.0708813615,0.07800275599999999,0.08769307789999999,0.0714089303,0.08398159349999999,0.0767851752,0.0773854157,0.09682514869999999,0.09679034859999999
Pmult_FT2,0.0077241415,0.008363454499999999,0.0077241415,0.0077241415,0.0065308491000000005,0.0157841684,0.0131635296,0.0,0.0083286295,0.0083579311,0.009559201,0.0224032579,0.023128252599999996,0.0230301631,0.022959160899999997,0.0230301631,0.0077241415,0.008363454499999999,0.0083286295,0.0083579311,0.009559201,0.0131635296,0.0157841684,0.0224032579,0.023128252599999996,0.0230301631,0.022959160899999997,0.0386369912,0.037835739,0.037835739,0.0380005964,0.0391280386,0.0399512394,0.0391367883,0.0557966338,0.057994330499999996,0.0560805416,0.0560805416,0.0572459009,0.0631887879,0.0683359633,0.0689922039,0.068680049,0.068680049,0.06684775429999999,0.0695492209,0.0781738377,0.08637704550000001,0.0715632513,0.0841653222,0.0769539228,0.0775538969,0.09704212849999999,0.0970071767
Pmult_SK6-3,0.0005882972000000001,0.0011829242,0.0005882972000000001,0.0005882972000000001,0.0017662293,0.0095406946,0.0095166366,0.0083286295,0.0,0.0035518681,0.0023661135,0.014986569,0.0156662737,0.015600484199999999,0.0153546942,0.015600484199999999,0.0005882972000000001,0.0011829242,0.0,0.0035518681,0.0023661135,0.0095166366,0.0095406946,0.014986569,0.0156662737,0.015600484199999999,0.0153546942,0.0308437358,0.0325926739,0.0325926739,0.0327334972,0.0351876254,0.032131816699999996,0.0351955092,0.050286230300000005,0.053084701100000006,0.0505407332,0.0505407332,0.0515820394,0.0575246232,0.0625761886,0.0625560126,0.0622754467,0.0622754467,0.059010401100000005,0.0614249604,0.0715430675,0.0782146608,0.0644380302,0.0752821559,0.0703894699,0.070300038,0.0899507367,0.0915151317
Pmult_ThK-16,0.0029562272999999997,0.002963235,0.0029562272999999997,0.0029562272999999997,0.0017723897,0.0069185209,0.0095501007,0.0083579311,0.0035518681,0.0,0.001178113,0.0174726372,0.017509218400000002,0.0180919527,0.015960992,0.0180919527,0.0029562272999999997,0.002963235,0.0035518681,0.0,0.001178113,0.0095501007,0.0069185209,0.0174726372,0.017509218400000002,0.0180919527,0.015960992,0.032761097,0.0327104074,0.0327104074,0.032131816699999996,0.035315127,0.034055007400000004,0.035323065699999996,0.05186543,0.051059939900000004,0.0507272962,0.0507272962,0.0495437904,0.0563609838,0.061377464900000005,0.06261268019999999,0.0631773799,0.0631773799,0.0613452833,0.064570976,0.07250326809999999,0.07967688769999999,0.0660248773,0.0784638112,0.0696399973,0.0710435969,0.0911029644,0.0926779565
Pmult_OmN-1,0.0017723897,0.0017765879000000001,0.0017723897,0.0017723897,0.0029562272999999997,0.0086577101,0.0107520477,0.009559201,0.0023661135,0.001178113,0.0,0.0162551913,0.0162891979,0.0168729125,0.014721720800000001,0.0168729125,0.0017723897,0.0017765879000000001,0.0023661135,0.001178113,0.0,0.0107520477,0.0086577101,0.0162551913,0.0162891979,0.0168729125,0.014721720800000001,0.0315005101,0.0339709257,0.0339709257,0.0333934252,0.0365824655,0.0327913085,0.0365906745,0.0531717817,0.052377358799999996,0.0520359064,0.0520359064,0.050870815300000004,0.057686925,0.06271875019999999,0.0632829936,0.063847041,0.063847041,0.0613452833,0.064570976,0.0731913903,0.07898157780000001,0.0660248773,0.0784638112,0.0696399973,0.0710435969,0.0925372741,0.09411676779999999
Pfok_US_Bl_16I1,0.014369206,0.015049711399999999,0.014369206,0.014369206,0.0155785144,0.0284466203,0.0236095154,0.0224032579,0.014986569,0.0174726372,0.0162551913,0.0,0.0017729807999999998,0.0017656766,0.0,0.0017656766,0.014369206,0.015049711399999999,0.014986569,0.0174726372,0.0162551913,0.0236095154,0.0284466203,0.0,0.0017729807999999998,0.0017656766,0.0,0.0269962004,0.0281407944,0.0281407944,0.0270121733,0.0307054839,0.0264113138,0.0300700092,0.049012905499999995,0.0564504072,0.0538580783,0.0538580783,0.0549709781,0.0609009997,0.06599850759999999,0.0653050386,0.0650114086,0.0650114086,0.0583988916,0.0600973499,0.0709326039,0.0799261329,0.0658086348,0.0737129274,0.0766002283,0.0683672625,0.0943447449,0.0959244837
Pfok_strain14,0.015044896399999999,0.0156662737,0.015044896399999999,0.015044896399999999,0.0162609353,0.0284466203,0.0243406113,0.023128252599999996,0.0156662737,0.017509218400000002,0.0162891979,0.0017729807999999998,0.0,0.0,0.0018082449,0.0,0.015044896399999999,0.0156662737,0.0156662737,0.017509218400000002,0.0162891979,0.0243406113,0.0284466203,0.0017729807999999998,0.0,0.0,0.0018082449,0.025749265099999998,0.0270121733,0.0270121733,0.0270121733,0.0295816312,0.0264113138,0.0289447083,0.048579122,0.0564504072,0.0540976626,0.0540976626,0.0549709781,0.0589910251,0.0655626021,0.0639615713,0.0639615713,0.0639615713,0.0599981676,0.061770946900000005,0.0726366535,0.07853169019999999,0.0647594288,0.07336583349999999,0.0751768307,0.0683672625,0.09329961390000001,0.0948823564
Pfok_CyL3-21,0.014981794199999999,0.0156662737,0.014981794199999999,0.014981794199999999,0.0161926814,0.0284466203,0.0242374023,0.0230301631,0.015600484199999999,0.0180919527,0.0168729125,0.0017656766,0.0,0.0,0.0018082449,0.0,0.014981794199999999,0.0156662737,0.015600484199999999,0.0180919527,0.0168729125,0.0242374023,0.0284466203,0.0017656766,0.0,0.0,0.0018082449,0.025749265099999998,0.02689664,0.02689664,0.0270121733,0.0294546319,0.0264113138,0.0288205302,0.0483657804,0.0564504072,0.0538580783,0.0538580783,0.0549709781,0.0609009997,0.0667092938,0.0639615713,0.0636741964,0.0636741964,0.0597289664,0.061482598,0.0723033565,0.07853169019999999,0.0644678295,0.0730318458,0.0751768307,0.0683672625,0.09285878539999999,0.0944330737
Pfok_strain12,0.014721720800000001,0.0153546942,0.014721720800000001,0.014721720800000001,0.015960992,0.0284466203,0.0241952216,0.022959160899999997,0.0153546942,0.015960992,0.014721720800000001,0.0,0.0018082449,0.0018082449,0.0,0.0018082449,0.014721720800000001,0.0153546942,0.0153546942,0.015960992,0.014721720800000001,0.0241952216,0.0284466203,0.0,0.0018082449,0.0018082449,0.0,0.027553837799999998,0.028846334100000003,0.028846334100000003,0.027570469900000002,0.0314782941,0.0269574652,0.0308262832,0.049610735700000005,0.0574436459,0.0552564168,0.0552564168,0.0552564168,0.0552564168,0.0559800654,0.066725728,0.066725728,0.066725728,0.0599343517,0.0617429796,0.07284098879999999,0.0817159053,0.067547882,0.0756823232,0.0779866503,0.0698647858,0.0969659157,0.0985954993
Pfok_T42-1,0.014981794199999999,0.0156662737,0.014981794199999999,0.014981794199999999,0.0161926814,0.0284466203,0.0242374023,0.0230301631,0.015600484199999999,0.0180919527,0.0168729125,0.0017656766,0.0,0.0,0.0018082449,0.0,0.014981794199999999,0.0156662737,0.015600484199999999,0.0180919527,0.0168729125,0.0242374023,0.0284466203,0.0017656766,0.0,0.0,0.0018082449,0.025749265099999998,0.02689664,0.02689664,0.0270121733,0.0294546319,0.0264113138,0.0288205302,0.0483657804,0.0564504072,0.0538580783,0.0538580783,0.0549709781,0.0609009997,0.0667092938,0.0639615713,0.0636741964,0.0636741964,0.0597289664,0.061482598,0.0723033565,0.07853169019999999,0.0644678295,0.0730318458,0.0751768307,0.0683672625,0.09285878539999999,0.0944330737
Pmult_ChP5-3,0.0,0.0005907297,0.0,0.0,0.0011760349000000002,0.0086577101,0.0089107962,0.0077241415,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.014981794199999999,0.0,0.0005907297,0.0005882972000000001,0.0029562272999999997,0.0017723897,0.0089107962,0.0086577101,0.014369206,0.015044896399999999,0.014981794199999999,0.014721720800000001,0.0301886035,0.0319373977,0.0319373977,0.0320752187,0.03452662,0.0314739743,0.0345343562,0.050979843899999995,0.052377358799999996,0.0498451371,0.0498451371,0.050870815300000004,0.0568121975,0.0618508684,0.0618308717,0.061553902,0.061553902,0.059063669400000005,0.0621760645,0.07079382940000001,0.0774497058,0.0637112008,0.0760360784,0.0696399973,0.0695583666,0.0899507367,0.0915151317
Pmult_strain4,0.0005907297,0.0,0.0005907297,0.0005907297,0.0017735379999999999,0.0095406946,0.0095564212,0.008363454499999999,0.0011829242,0.002963235,0.0017765879000000001,0.015049711399999999,0.0156662737,0.0156662737,0.0153546942,0.0156662737,0.0005907297,0.0,0.0011829242,0.002963235,0.0017765879000000001,0.0095564212,0.0095406946,0.015049711399999999,0.0156662737,0.0156662737,0.0153546942,0.0308437358,0.0327334972,0.0327334972,0.0327334972,0.0353402351,0.032131816699999996,0.0353481849,0.0519038539,0.053084701100000006,0.050764915,0.050764915,0.0515820394,0.0556193868,0.0614244254,0.0625560126,0.0625560126,0.0625560126,0.0600526112,0.0632247722,0.071872394,0.0782146608,0.0647293526,0.0771453077,0.0703894699,0.070300038,0.09117874699999999,0.09275535380000001
Pmult_SK6-3,0.0005882972000000001,0.0011829242,0.0005882972000000001,0.0005882972000000001,0.0017662293,0.0095406946,0.0095166366,0.0083286295,0.0,0.0035518681,0.0023661135,0.014986569,0.0156662737,0.015600484199999999,0.0153546942,0.015600484199999999,0.0005882972000000001,0.0011829242,0.0,0.0035518681,0.0023661135,0.0095166366,0.0095406946,0.014986569,0.0156662737,0.015600484199999999,0.0153546942,0.0308437358,0.0325926739,0.0325926739,0.0327334972,0.0351876254,0.032131816699999996,0.0351955092,0.050286230300000005,0.053084701100000006,0.0505407332,0.0505407332,0.0515820394,0.0575246232,0.0625761886,0.0625560126,0.0622754467,0.0622754467,0.059010401100000005,0.0614249604,0.0715430675,0.0782146608,0.0644380302,0.0752821559,0.0703894699,0.070300038,0.0899507367,0.0915151317
Pmult_ThK-16,0.0029562272999999997,0.002963235,0.0029562272999999997,0.0029562272999999997,0.0017723897,0.0069185209,0.0095501007,0.0083579311,0.0035518681,0.0,0.001178113,0.0174726372,0.017509218400000002,0.0180919527,0.015960992,0.0180919527,0.0029562272999999997,0.002963235,0.0035518681,0.0,0.001178113,0.0095501007,0.0069185209,0.0174726372,0.017509218400000002,0.0180919527,0.015960992,0.032761097,0.0327104074,0.0327104074,0.032131816699999996,0.035315127,0.034055007400000004,0.035323065699999996,0.05186543,0.051059939900000004,0.0507272962,0.0507272962,0.0495437904,0.0563609838,0.061377464900000005,0.06261268019999999,0.0631773799,0.0631773799,0.0613452833,0.064570976,0.07250326809999999,0.07967688769999999,0.0660248773,0.0784638112,0.0696399973,0.0710435969,0.0911029644,0.0926779565
Pmult_OmN-1,0.0017723897,0.0017765879000000001,0.0017723897,0.0017723897,0.0029562272999999997,0.0086577101,0.0107520477,0.009559201,0.0023661135,0.001178113,0.0,0.0162551913,0.0162891979,0.0168729125,0.014721720800000001,0.0168729125,0.0017723897,0.0017765879000000001,0.0023661135,0.001178113,0.0,0.0107520477,0.0086577101,0.0162551913,0.0162891979,0.0168729125,0.014721720800000001,0.0315005101,0.0339709257,0.0339709257,0.0333934252,0.0365824655,0.0327913085,0.0365906745,0.0531717817,0.052377358799999996,0.0520359064,0.0520359064,0.050870815300000004,0.057686925,0.06271875019999999,0.0632829936,0.063847041,0.063847041,0.0613452833,0.064570976,0.0731913903,0.07898157780000001,0.0660248773,0.0784638112,0.0696399973,0.0710435969,0.0925372741,0.09411676779999999
Pmult_FT5,0.0089107962,0.0095564212,0.0089107962,0.0089107962,0.0077168285999999996,0.0157495859,0.0,0.0131635296,0.0095166366,0.0095501007,0.0107520477,0.0236095154,0.0243406113,0.0242374023,0.0241952216,0.0242374023,0.0089107962,0.0095564212,0.0095166366,0.0095501007,0.0107520477,0.0,0.0157495859,0.0236095154,0.0243406113,0.0242374023,0.0241952216,0.0398746269,0.039067755600000004,0.039067755600000004,0.0392379401,0.0403613829,0.041190668199999995,0.0403703842,0.0570515523,0.059268842,0.0573415692,0.0573415692,0.0585328097,0.0644626947,0.0696202788,0.0702766232,0.06995874469999999,0.06995874469999999,0.0681289241,0.0708813615,0.07800275599999999,0.08769307789999999,0.0714089303,0.08398159349999999,0.0767851752,0.0773854157,0.09682514869999999,0.09679034859999999
Pmult_BNB-2015,0.0086577101,0.0095406946,0.0086577101,0.0086577101,0.0069185209,0.0,0.0157495859,0.0157841684,0.0095406946,0.0069185209,0.0086577101,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0086577101,0.0095406946,0.0095406946,0.0069185209,0.0086577101,0.0157495859,0.0,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0418374527,0.0409073173,0.0409073173,0.0418398486,0.0418600644,0.0437080528,0.0428634312,0.0616440516,0.0702829236,0.0660522189,0.0660522189,0.0660522189,0.0660522189,0.0660522189,0.0839153087,0.0839153087,0.0839153087,0.0746373263,0.0729858767,0.08839354949999999,0.09666438050000001,0.0815127261,0.0933642806,0.0889567161,0.0852164341,0.10196630640000001,0.1031796933
Pfok_US_Bl_16I1,0.014369206,0.015049711399999999,0.014369206,0.014369206,0.0155785144,0.0284466203,0.0236095154,0.0224032579,0.014986569,0.0174726372,0.0162551913,0.0,0.0017729807999999998,0.0017656766,0.0,0.0017656766,0.014369206,0.015049711399999999,0.014986569,0.0174726372,0.0162551913,0.0236095154,0.0284466203,0.0,0.0017729807999999998,0.0017656766,0.0,0.0269962004,0.0281407944,0.0281407944,0.0270121733,0.0307054839,0.0264113138,0.0300700092,0.049012905499999995,0.0564504072,0.0538580783,0.0538580783,0.0549709781,0.0609009997,0.06599850759999999,0.0653050386,0.0650114086,0.0650114086,0.0583988916,0.0600973499,0.0709326039,0.0799261329,0.0658086348,0.0737129274,0.0766002283,0.0683672625,0.0943447449,0.0959244837
Pfok_strain14,0.015044896399999999,0.0156662737,0.015044896399999999,0.015044896399999999,0.0162609353,0.0284466203,0.0243406113,0.023128252599999996,0.0156662737,0.017509218400000002,0.0162891979,0.0017729807999999998,0.0,0.0,0.0018082449,0.0,0.015044896399999999,0.0156662737,0.0156662737,0.017509218400000002,0.0162891979,0.0243406113,0.0284466203,0.0017729807999999998,0.0,0.0,0.0018082449,0.025749265099999998,0.0270121733,0.0270121733,0.0270121733,0.0295816312,0.0264113138,0.0289447083,0.048579122,0.0564504072,0.0540976626,0.0540976626,0.0549709781,0.0589910251,0.0655626021,0.0639615713,0.0639615713,0.0639615713,0.0599981676,0.061770946900000005,0.0726366535,0.07853169019999999,0.0647594288,0.07336583349999999,0.0751768307,0.0683672625,0.09329961390000001,0.0948823564
Pfok_CyL3-21,0.014981794199999999,0.0156662737,0.014981794199999999,0.014981794199999999,0.0161926814,0.0284466203,0.0242374023,0.0230301631,0.015600484199999999,0.0180919527,0.0168729125,0.0017656766,0.0,0.0,0.0018082449,0.0,0.014981794199999999,0.0156662737,0.015600484199999999,0.0180919527,0.0168729125,0.0242374023,0.0284466203,0.0017656766,0.0,0.0,0.0018082449,0.025749265099999998,0.02689664,0.02689664,0.0270121733,0.0294546319,0.0264113138,0.0288205302,0.0483657804,0.0564504072,0.0538580783,0.0538580783,0.0549709781,0.0609009997,0.0667092938,0.0639615713,0.0636741964,0.0636741964,0.0597289664,0.061482598,0.0723033565,0.07853169019999999,0.0644678295,0.0730318458,0.0751768307,0.0683672625,0.09285878539999999,0.0944330737
