,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BR3,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_ChP5-3,100.0,99.941,99.941,99.823,99.941,99.295,99.29,99.397,98.649,98.585,98.591,98.617,97.114,97.009,97.009,96.996,96.831,97.055,96.77,95.367,95.809,96.019,96.019,95.943,95.892,95.876,94.947,94.968,94.968,94.718,94.59,93.618,93.416,94.678,93.746,93.972,93.934,92.344,92.344
Pmult_strain4,99.941,100.0,99.882,99.823,99.941,99.233,99.23,99.31,98.585,98.526,98.526,98.557,97.055,96.938,96.938,96.938,96.759,96.996,96.698,95.289,95.75,95.944,95.944,95.883,95.882,95.816,94.888,94.888,94.888,94.638,94.505,93.533,93.357,94.598,93.662,93.913,93.875,92.254,92.254
Pmult_SK6-3,99.941,99.882,100.0,99.764,99.882,99.237,99.23,99.31,98.591,98.526,98.532,98.557,97.055,96.95,96.95,96.938,96.772,96.996,96.712,95.425,95.752,95.963,95.963,95.886,95.836,95.818,94.888,94.909,94.909,94.718,94.59,93.56,93.416,94.62,93.805,93.913,93.938,92.344,92.344
Pmult_ThK-16,99.823,99.823,99.764,100.0,99.882,99.352,99.408,99.569,98.529,98.525,98.47,98.558,96.993,97.059,97.059,97.111,96.881,96.934,96.82,95.291,95.806,95.946,95.946,95.94,95.953,95.873,94.938,94.891,94.891,94.644,94.512,93.6,93.349,94.604,93.669,93.972,93.927,92.263,92.263
Pmult_OmN-1,99.941,99.941,99.882,99.882,100.0,99.234,99.29,99.397,98.587,98.583,98.528,98.617,97.111,96.941,96.941,96.993,96.763,97.052,96.702,95.294,95.809,95.948,95.948,95.943,95.955,95.876,94.941,94.894,94.894,94.644,94.512,93.541,93.408,94.604,93.669,93.972,93.927,92.263,92.263
Pmult_FT5,99.295,99.233,99.237,99.352,99.234,100.0,98.936,98.881,98.006,97.939,97.947,97.958,96.41,96.542,96.542,96.527,96.368,96.351,96.307,94.792,95.221,95.433,95.433,95.346,95.305,95.278,94.36,94.383,94.383,94.135,93.989,93.212,92.773,94.214,93.283,93.506,93.467,91.818,91.827
Pmult_BR3,99.29,99.23,99.23,99.408,99.29,98.936,100.0,98.966,98.048,97.989,97.989,98.017,96.57,96.688,96.688,96.688,96.513,96.511,96.452,94.979,95.393,95.57,95.57,95.52,95.514,95.452,94.51,94.51,94.51,94.205,94.182,93.101,93.034,94.166,93.345,93.621,93.495,91.878,91.887
Pmult_BNB-2015,99.397,99.31,99.31,99.569,99.397,98.881,98.966,100.0,97.676,97.676,97.676,97.676,96.389,96.561,96.561,96.475,96.475,96.303,96.299,94.506,94.602,95.03,95.03,95.03,95.03,95.03,93.579,93.579,93.579,93.729,93.969,92.624,92.367,93.579,92.985,92.784,93.121,91.409,91.416
Pfok_US_Bl_16I1,98.649,98.585,98.591,98.529,98.587,98.006,98.048,97.676,100.0,99.823,99.824,100.0,97.229,97.242,97.242,97.348,97.064,97.347,97.123,95.481,95.334,95.548,95.548,95.463,95.42,95.395,94.467,94.49,94.49,94.656,94.647,93.322,93.357,94.448,93.915,93.577,94.111,92.398,92.398
Pfok_strain14,98.585,98.526,98.526,98.525,98.583,97.939,97.989,97.676,99.823,100.0,100.0,99.819,97.347,97.348,97.348,97.348,97.17,97.347,97.229,95.522,95.334,95.529,95.529,95.463,95.468,95.335,94.585,94.585,94.585,94.517,94.502,93.176,93.474,94.484,93.886,93.632,94.111,92.357,92.357
Pfok_CyL3-21,98.591,98.526,98.532,98.47,98.528,97.947,97.989,97.676,99.824,100.0,100.0,99.819,97.347,97.359,97.359,97.348,97.181,97.347,97.24,95.54,95.334,95.548,95.548,95.463,95.42,95.335,94.585,94.607,94.607,94.539,94.526,93.204,93.474,94.506,93.911,93.632,94.111,92.389,92.389
Pfok_strain12,98.617,98.557,98.557,98.558,98.617,97.958,98.017,97.676,100.0,99.819,99.819,100.0,97.174,97.175,97.175,97.296,96.993,97.294,97.054,95.433,95.258,95.441,95.441,95.441,95.441,95.444,94.358,94.358,94.358,94.528,94.514,93.161,93.225,94.315,93.769,93.473,93.994,92.216,92.216
Psch_BM,97.114,97.055,97.055,96.993,97.111,96.41,96.57,96.389,97.229,97.347,97.347,97.174,100.0,99.469,99.469,99.469,99.292,99.528,99.41,96.344,96.515,96.647,96.647,96.597,96.586,96.411,95.703,95.703,95.703,94.817,94.814,93.526,93.89,95.006,93.82,93.617,93.757,92.254,92.254
Pprim_CyL4-1,97.009,96.938,96.95,97.059,96.941,96.542,96.688,96.561,97.242,97.348,97.359,97.175,99.469,100.0,100.0,99.882,99.765,99.764,99.588,96.416,96.277,96.424,96.424,96.356,96.298,96.17,95.644,95.662,95.662,94.903,94.903,93.669,93.772,95.266,94.025,93.628,93.82,92.285,92.285
Ppent_Nr1-10,97.009,96.938,96.95,97.059,96.941,96.542,96.688,96.561,97.242,97.348,97.359,97.175,99.469,100.0,100.0,99.882,99.765,99.764,99.588,96.416,96.277,96.424,96.424,96.356,96.298,96.17,95.644,95.662,95.662,94.903,94.903,93.669,93.772,95.266,94.025,93.628,93.82,92.285,92.285
Pbi_FGC3,96.996,96.938,96.938,97.111,96.993,96.527,96.688,96.475,97.348,97.348,97.348,97.296,99.469,99.882,99.882,100.0,99.705,99.823,99.587,96.342,96.277,96.41,96.41,96.356,96.349,96.17,95.586,95.586,95.586,95.0,95.003,93.702,93.713,95.246,93.945,93.573,93.702,92.317,92.317
Ptetr_Lab,96.831,96.759,96.772,96.881,96.763,96.368,96.513,96.475,97.064,97.17,97.181,96.993,99.292,99.765,99.765,99.705,100.0,99.646,99.412,96.301,96.099,96.246,96.246,96.175,96.12,95.988,95.524,95.543,95.543,94.786,94.785,93.548,93.651,95.088,93.787,93.392,93.581,92.101,92.11
Pnov_UV1-3,97.055,96.996,96.996,96.934,97.052,96.351,96.511,96.303,97.347,97.347,97.347,97.294,99.528,99.764,99.764,99.823,99.646,100.0,99.41,96.403,96.22,96.353,96.353,96.299,96.292,96.112,95.647,95.647,95.647,95.003,95.006,93.702,93.831,95.188,93.945,93.573,93.702,92.258,92.258
Pjen_FT3,96.77,96.698,96.712,96.82,96.702,96.307,96.452,96.299,97.123,97.229,97.24,97.054,99.41,99.588,99.588,99.587,99.412,99.41,100.0,96.418,96.336,96.481,96.481,96.414,96.355,96.228,95.642,95.66,95.66,94.725,94.721,93.372,93.772,95.143,93.904,93.51,93.816,92.105,92.114
Psp_FT8,95.367,95.289,95.425,95.291,95.294,94.792,94.979,94.506,95.481,95.522,95.54,95.433,96.344,96.416,96.416,96.342,96.301,96.403,96.418,100.0,96.156,96.012,96.012,95.995,95.885,95.868,95.112,95.132,95.132,94.09,94.057,92.736,92.966,94.327,93.337,93.388,93.537,91.696,91.706
Pgerm_GO1,95.809,95.75,95.752,95.806,95.809,95.221,95.393,94.602,95.334,95.334,95.334,95.258,96.515,96.277,96.277,96.277,96.099,96.22,96.336,96.156,100.0,99.586,99.586,99.581,99.527,99.4,98.105,98.105,98.105,94.041,93.758,92.457,92.988,94.402,92.988,92.979,92.979,91.284,91.289
Plyn_PO16-1,96.019,95.944,95.963,95.946,95.948,95.433,95.57,95.03,95.548,95.529,95.548,95.441,96.647,96.424,96.424,96.41,96.246,96.353,96.481,96.012,99.586,100.0,100.0,100.0,99.882,99.76,98.172,98.18,98.18,94.441,94.171,92.753,93.247,94.565,93.158,93.038,92.949,91.355,91.355
Plyn_SP-1,96.019,95.944,95.963,95.946,95.948,95.433,95.57,95.03,95.548,95.529,95.548,95.441,96.647,96.424,96.424,96.41,96.246,96.353,96.481,96.012,99.586,100.0,100.0,100.0,99.882,99.76,98.172,98.18,98.18,94.441,94.171,92.753,93.247,94.565,93.158,93.038,92.949,91.355,91.355
Plyn_SD11-9,95.943,95.883,95.886,95.94,95.943,95.346,95.52,95.03,95.463,95.463,95.463,95.441,96.597,96.356,96.356,96.356,96.175,96.299,96.414,95.995,99.581,100.0,100.0,100.0,100.0,99.76,98.145,98.145,98.145,94.335,94.056,92.615,93.147,94.461,93.027,92.959,92.844,91.19,91.19
Plyn_ShKm41,95.892,95.882,95.836,95.953,95.955,95.305,95.514,95.03,95.42,95.468,95.42,95.441,96.586,96.298,96.298,96.349,96.12,96.292,96.355,95.885,99.527,99.882,99.882,100.0,100.0,99.76,98.112,98.058,98.058,94.311,94.035,92.619,93.184,94.435,93.025,92.983,92.887,91.218,91.218
Plyn_HSG3-10,95.876,95.816,95.818,95.873,95.876,95.278,95.452,95.03,95.395,95.335,95.335,95.444,96.411,96.17,96.17,96.17,95.988,96.112,96.228,95.868,99.4,99.76,99.76,99.76,99.76,100.0,97.962,97.962,97.962,94.086,93.797,92.363,92.951,94.272,92.776,92.823,92.712,91.11,91.11
Pcaud_VL10-1,94.947,94.888,94.888,94.938,94.941,94.36,94.51,93.579,94.467,94.585,94.585,94.358,95.703,95.644,95.644,95.586,95.524,95.647,95.642,95.112,98.105,98.172,98.172,98.145,98.112,97.962,100.0,100.0,100.0,93.369,93.118,91.955,92.601,93.717,92.132,91.976,92.132,90.563,90.563
Pcaud_K5-2,94.968,94.888,94.909,94.891,94.894,94.383,94.51,93.579,94.49,94.585,94.607,94.358,95.703,95.662,95.662,95.586,95.543,95.647,95.66,95.132,98.105,98.18,98.18,98.145,98.058,97.962,100.0,100.0,100.0,93.396,93.147,91.988,92.601,93.743,92.164,91.976,92.132,90.601,90.601
Pcaud_OR4-4,94.968,94.888,94.909,94.891,94.894,94.383,94.51,93.579,94.49,94.585,94.607,94.358,95.703,95.662,95.662,95.586,95.543,95.647,95.66,95.132,98.105,98.18,98.18,98.145,98.058,97.962,100.0,100.0,100.0,93.396,93.147,91.988,92.601,93.743,92.164,91.976,92.132,90.601,90.601
Pnephr_BMS16-23,94.718,94.638,94.718,94.644,94.644,94.135,94.205,93.729,94.656,94.517,94.539,94.528,94.817,94.903,94.903,95.0,94.786,95.003,94.725,94.09,94.041,94.441,94.441,94.335,94.311,94.086,93.369,93.396,93.396,100.0,99.695,94.601,94.176,94.903,93.626,93.684,93.651,92.339,92.339
Pwood_BB-5,94.59,94.505,94.59,94.512,94.512,93.989,94.182,93.969,94.647,94.502,94.526,94.514,94.814,94.903,94.903,95.003,94.785,95.006,94.721,94.057,93.758,94.171,94.171,94.056,94.035,93.797,93.118,93.147,93.147,99.695,100.0,94.404,94.024,94.778,93.398,93.399,93.484,92.121,92.126
Pcalk_CyL1-24,93.618,93.533,93.56,93.6,93.541,93.212,93.101,92.624,93.322,93.176,93.204,93.161,93.526,93.669,93.669,93.702,93.548,93.702,93.372,92.736,92.457,92.753,92.753,92.615,92.619,92.363,91.955,91.988,91.988,94.601,94.404,100.0,93.948,93.966,93.095,93.396,93.647,91.916,91.852
Ppol_TBS3,93.416,93.357,93.416,93.349,93.408,92.773,93.034,92.367,93.357,93.474,93.474,93.225,93.89,93.772,93.772,93.713,93.651,93.831,93.772,92.966,92.988,93.247,93.247,93.147,93.184,92.951,92.601,92.601,92.601,94.176,94.024,93.948,100.0,93.658,92.66,92.765,93.588,91.73,91.73
Pchlor_Kon,94.678,94.598,94.62,94.604,94.604,94.214,94.166,93.579,94.448,94.484,94.506,94.315,95.006,95.266,95.266,95.246,95.088,95.188,95.143,94.327,94.402,94.565,94.565,94.461,94.435,94.272,93.717,93.743,93.743,94.903,94.778,93.966,93.658,100.0,93.509,93.802,93.647,91.383,91.383
Pputr_ETu-7,93.746,93.662,93.805,93.669,93.669,93.283,93.345,92.985,93.915,93.886,93.911,93.769,93.82,94.025,94.025,93.945,93.787,93.945,93.904,93.337,92.988,93.158,93.158,93.027,93.025,92.776,92.132,92.164,92.164,93.626,93.398,93.095,92.66,93.509,100.0,95.858,94.994,93.376,93.314
Pbuet_N06,93.972,93.913,93.913,93.972,93.972,93.506,93.621,92.784,93.577,93.632,93.632,93.473,93.617,93.628,93.628,93.573,93.392,93.573,93.51,93.388,92.979,93.038,93.038,92.959,92.983,92.823,91.976,91.976,91.976,93.684,93.399,93.396,92.765,93.802,95.858,100.0,95.915,92.967,92.908
Pdub_Ku4-8,93.934,93.875,93.938,93.927,93.927,93.467,93.495,93.121,94.111,94.111,94.111,93.994,93.757,93.82,93.82,93.702,93.581,93.702,93.816,93.537,92.979,92.949,92.949,92.844,92.887,92.712,92.132,92.132,92.132,93.651,93.484,93.647,93.588,93.647,94.994,95.915,100.0,92.647,92.584
Pbur_OK1,92.344,92.254,92.344,92.263,92.263,91.818,91.878,91.409,92.398,92.357,92.389,92.216,92.254,92.285,92.285,92.317,92.101,92.258,92.105,91.696,91.284,91.355,91.355,91.19,91.218,91.11,90.563,90.601,90.601,92.339,92.121,91.916,91.73,91.383,93.376,92.967,92.647,100.0,99.94
Pbur_YD-2010-3,92.344,92.254,92.344,92.263,92.263,91.827,91.887,91.416,92.398,92.357,92.389,92.216,92.254,92.285,92.285,92.317,92.11,92.258,92.114,91.706,91.289,91.355,91.355,91.19,91.218,91.11,90.563,90.601,90.601,92.339,92.126,91.852,91.73,91.383,93.314,92.908,92.584,99.94,100.0
